0;CTRL_REGISTER;R/W;C
2;CTRL_SET;R/W;0
4;CTRL_RST;R/W;0
6;MODE;R/W;1
8;ABORT_MODE;R/W;0
A;TRIGGER_MAIN_SEL;R/W;0
C;TRIGGER_ACQ_SEL;R/W;2
E;TRIGGER_THRESHOLD;R/W;64
10;SAMPLE_PER_EVENT_L;R/W;A
12;SAMPLE_PER_EVENT_M;R/W;0
14;NUMBER_OF_EVENT_L;R/W;1
16;NUMBER_OF_EVENT_M;R/W;0
18;NUMBER_OF_TIME_L;R/W;0
1A;NUMBER_OF_TIME_M;R/W;0
20;COUNTER_EVENT_INCOMING_L;R/W;0
22;COUNTER_EVENT_INCOMING_M;R/W;0
24;COUNTER_EVENT_PROCESSED_L;R/W;0
26;COUNTER_EVENT_PROCESSED_M;R/W;0
28;COUNTER_EVENT_INRUN_L;R/W;0
2A;COUNTER_EVENT_INRUN_M;R/W;0
